ProductID,Product,Segment,Category,ManufacturerID,Price
1,Atlas MA-01,All Season,Mix,1,USD 412.13
2,Atlas MA-02,All Season,,1,USD 329.78
3,Atlas MA-03,All Season,,1,USD 963.38
4,Atlas MA-04,All Season,,1,USD 828.98
5,Atlas MA-05,All Season,,1,USD 745.5
7,Atlas MA-07,All Season,,1,USD 451.45
6,Atlas MA-06,All Season,,1,USD 329.78
8,Atlas MA-08,All Season,,1,USD 485.89
9,Atlas MA-09,All Season,,1,USD 634.73
10,Atlas MA-10,All Season,,1,USD 681.98
11,Atlas MA-11,All Season,,1,USD 761.25
12,Atlas MA-12,All Season,,1,USD 456.7
13,Atlas MA-13,All Season,,1,USD 456.7
14,Atlas MA-14,All Season,,1,USD 419.95
15,Atlas MA-15,All Season,,1,USD 472.45
16,Atlas MA-16,All Season,,1,USD 711.38
17,Atlas MA-17,All Season,,1,USD 414.75
18,Atlas MA-18,All Season,,1,USD 393.7
19,Atlas MA-19,All Season,,1,USD 393.7
20,Atlas MA-20,All Season,,1,USD 509.25
21,Atlas MA-21,All Season,,1,USD 430.5
22,Atlas MA-22,All Season,,1,USD 551.25
23,Atlas MA-23,All Season,,1,USD 758.63
25,Atlas MA-25,All Season,,1,USD 792.75
26,Atlas MA-26,All Season,,1,USD 847.88
24,Atlas MA-24,All Season,,1,USD 329.78
27,Atlas MA-27,All Season,,1,USD 446.2
28,Atlas MA-28,All Season,,1,USD 431.8125
29,Atlas MA-29,All Season,,1,USD 524.48
30,Atlas MA-30,All Season,,1,USD 854.7
31,Atlas MA-31,All Season,,1,USD 761.25
32,Atlas MA-32,All Season,,1,USD 711.38
33,Atlas MA-33,All Season,,1,USD 734.475
34,Atlas MA-34,All Season,,1,USD 424.725
35,Atlas MA-35,All Season,,1,USD 472.4475
36,Atlas MA-36,All Season,,1,USD 527.1
37,Atlas MA-37,All Season,,1,USD 454.13
38,Atlas MA-38,All Season,,1,USD 446.25
40,Atlas MA-40,All Season,,1,USD 1049.48
41,Atlas MA-41,All Season,,1,USD 845.25
42,Atlas MA-42,All Season,,1,USD 1077.3
39,Atlas MA-39,All Season,,1,USD 329.78
43,Atlas MA-43,All Season,,1,USD 419.95
44,Atlas MA-44,All Season,,1,USD 440.95
45,Atlas MA-45,All Season,,1,USD 472.45
46,Atlas RP-01,Productivity,Rural,1,USD 314.9475
47,Atlas RP-02,Productivity,,1,USD 314.9475
48,Atlas RP-03,Productivity,,1,USD 65.5725
49,Atlas RP-04,Productivity,,1,USD 65.5725
50,Atlas RP-05,Productivity,,1,USD 750.6975
51,Atlas RP-06,Productivity,,1,USD 750.6975
52,Atlas RP-07,Productivity,,1,USD 341.2
53,Atlas RP-08,Productivity,,1,USD 341.2
54,Atlas RP-09,Productivity,,1,USD 419.95
55,Atlas RP-10,Productivity,,1,USD 419.95
56,Atlas RP-11,Productivity,,1,USD 314.95
57,Atlas RP-12,Productivity,,1,USD 314.95
58,Atlas RP-13,Productivity,,1,USD 367.45
59,Atlas RP-14,Productivity,,1,USD 367.45
60,Atlas RP-15,Productivity,,1,USD 404.1975
61,Atlas RP-16,Productivity,,1,USD 404.1975
62,Atlas RP-17,Productivity,,1,USD 419.95
63,Atlas RP-18,Productivity,,1,USD 419.95
64,Atlas RP-19,Productivity,,1,USD 314.95
65,Atlas RP-20,Productivity,,1,USD 314.95
66,Atlas RP-21,Productivity,,1,USD 435.6975
67,Atlas RP-22,Productivity,,1,USD 435.6975
68,Atlas RS-01,Select,Rural,1,USD 367.45
69,Atlas RS-02,Select,,1,USD 330.7
70,Atlas RS-03,Select,,1,USD 419.9475
71,Atlas RS-04,Select,,1,USD 398.95
72,Atlas RS-05,Select,,1,USD 404.1975
73,Atlas RS-06,Select,,1,USD 330.7
189,Atlas UC-01,Convenience,Urban,1,USD 792.75
190,Atlas UC-02,Convenience,,1,USD 786.98
191,Atlas UC-03,Convenience,,1,USD 792.75
192,Atlas UC-04,Convenience,,1,USD 787.5
74,Atlas UM-01,Moderation,Urban,1,USD 1128.75
193,Atlas UC-05,Convenience,,1,USD 765.98
75,Atlas UM-02,Moderation,,1,USD 786.975
194,Atlas UC-06,Convenience,,1,USD 787.5
76,Atlas UM-03,Moderation,,1,USD 865.73
195,Atlas UC-07,Convenience,,1,USD 839.475
77,Atlas UM-04,Moderation,,1,USD 329.78
196,Atlas UC-08,Convenience,,1,USD 839.48
78,Atlas UM-05,Moderation,,1,USD 329.78
173,Atlas UE-01,Extreme,Urban,1,USD 1077.565
79,Atlas UM-06,Moderation,,1,USD 860.475
174,Atlas UE-02,Extreme,,1,USD 756
80,Atlas UM-07,Moderation,,1,USD 619.5
175,Atlas UE-03,Extreme,,1,USD 629.48
81,Atlas UM-08,Moderation,,1,USD 329.78
176,Atlas UE-04,Extreme,,1,USD 768.08
82,Atlas UM-09,Moderation,,1,USD 839.475
177,Atlas UE-05,Extreme,,1,USD 786.98
83,Atlas UM-10,Moderation,,1,USD 786.975
178,Atlas UE-06,Extreme,,1,USD 522.38
84,Atlas UM-11,Moderation,,1,USD 886.725
180,Atlas UE-08,Extreme,,1,USD 832.13
85,Atlas UM-12,Moderation,,1,USD 807.98
181,Atlas UE-09,Extreme,,1,USD 708.23
86,Atlas UM-13,Moderation,,1,USD 1181.25
182,Atlas UE-10,Extreme,,1,USD 1338.75
87,Atlas UM-14,Moderation,,1,USD 329.78
183,Atlas UE-11,Extreme,,1,USD 795.38
88,Atlas UM-15,Moderation,,1,USD 892.5
